Distance entre avions : 1.0 
Nombre de simulations : 100000 
Prob IS: 0.773284711621 ; Error : 0.00389182820483 ; mu : -0.210526315789 
Prob IS: 0.775624861873 ; Error : 0.00367680657284 ; mu : -0.210526315789 
Prob IS: 0.785264980352 ; Error : 0.00405829942705 ; mu : -0.210526315789 
Prob IS: 0.774661586494 ; Error : 0.00361164708085 ; mu : -0.210526315789 
Prob IS: 0.777600438684 ; Error : 0.00388638607594 ; mu : -0.210526315789 
Prob IS: 0.778338726524 ; Error : 0.00371362556374 ; mu : -0.210526315789 
Prob IS: 0.776561287683 ; Error : 0.00366756365249 ; mu : -0.210526315789 
Prob IS: 0.778444499691 ; Error : 0.00373485241682 ; mu : -0.210526315789 
Prob IS: 0.772077181972 ; Error : 0.00350302403511 ; mu : -0.210526315789 
Prob IS: 0.776605324405 ; Error : 0.00390172911048 ; mu : -0.210526315789 
Prob IS: 0.776160006594 ; Error : 0.00357440238393 ; mu : -0.210526315789 
Prob IS: 0.778211164795 ; Error : 0.00374972064572 ; mu : -0.210526315789 
Prob IS: 0.77595672677 ; Error : 0.0036750865403 ; mu : -0.210526315789 
Prob IS: 0.774740898244 ; Error : 0.00361928713098 ; mu : -0.210526315789 
Prob IS: 0.777689822607 ; Error : 0.00380210313214 ; mu : -0.210526315789 
Prob IS: 0.773269994427 ; Error : 0.00361156556064 ; mu : -0.210526315789 
Prob IS: 0.776165561874 ; Error : 0.00363925209952 ; mu : -0.210526315789 
Prob IS: 0.778757839541 ; Error : 0.00353582932567 ; mu : -0.210526315789 
Prob IS: 0.774893657067 ; Error : 0.00375207018617 ; mu : -0.210526315789 
Prob IS: 0.775993250149 ; Error : 0.0036709639348 ; mu : -0.210526315789 
Prob IS: 0.771982309943 ; Error : 0.00363203010349 ; mu : -0.210526315789 
Prob IS: 0.774708785709 ; Error : 0.00367517926206 ; mu : -0.210526315789 
Prob IS: 0.776080061142 ; Error : 0.00358392072624 ; mu : -0.210526315789 
Real value : 0.7770661168049694
