Distance entre avions : 2.0 
Nombre de simulations : 100000 
Prob IS: 5.0326351585e-06 ; Error : 4.30504399787e-06 ; mu : -2.0 
Prob IS: 1.57121758418e-05 ; Error : 1.53382819062e-05 ; mu : -2.0 
Prob IS: 6.44777980342e-06 ; Error : 6.2991075445e-06 ; mu : -2.0 
Prob IS: 3.63799791823e-05 ; Error : 5.36999652221e-05 ; mu : -2.0 
Prob IS: 2.38004475489e-05 ; Error : 2.71854758591e-05 ; mu : -2.0 
Prob IS: 1.26065188393e-06 ; Error : 9.64020458065e-07 ; mu : -2.0 
Prob IS: 0.3968 ; Error : 0.00177376773009 ; mu : 0.0 
Prob IS: 4.13066188193e-05 ; Error : 6.21443839338e-05 ; mu : -2.0 
Prob IS: 2.30859737798e-05 ; Error : 3.05427415845e-05 ; mu : -2.0 
Prob IS: 5.24085557844e-05 ; Error : 6.46782835074e-05 ; mu : -2.0 
Prob IS: 3.31326084607e-06 ; Error : 2.05906252062e-06 ; mu : -2.0 
Prob IS: 0.000137086789136 ; Error : 0.000244243869727 ; mu : -2.0 
Prob IS: 1.19128550968e-05 ; Error : 1.53182022333e-05 ; mu : -2.0 
Prob IS: 2.61037506551e-05 ; Error : 3.12196640419e-05 ; mu : -2.0 
Prob IS: 0.39881 ; Error : 0.00176085212957 ; mu : 0.0 
Prob IS: 1.64828912601e-05 ; Error : 2.65803371005e-05 ; mu : -2.0 
Prob IS: 2.09929500811e-05 ; Error : 2.7747940338e-05 ; mu : -2.0 
Prob IS: 0.00010977118115 ; Error : 0.000129352319989 ; mu : -2.0 
Prob IS: 1.46009502665e-05 ; Error : 1.82204993044e-05 ; mu : -2.0 
Prob IS: 1.29792438259e-05 ; Error : 1.75362897065e-05 ; mu : -2.0 
Prob IS: 8.24928070057e-05 ; Error : 0.000147469663951 ; mu : -2.0 
Prob IS: 1.51244446876e-05 ; Error : 2.06662004868e-05 ; mu : -2.0 
Prob IS: 0.000471364728153 ; Error : 0.000224948713028 ; mu : -1.68421052632 
Real value : 0.399617926552043
