Distance entre avions : 1.0 
Nombre de simulations : 100000 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Prob IS: 0 ; Error : 0 ; mu : 0 
Real value : 0.777270554845769
