Distance entre avions : 3.0 
Nombre de simulations : 100000 
Prob IS: 0.119326211663 ; Error : 0.00141166945682 ; mu : -0.947368421053 
Prob IS: 0.118613875063 ; Error : 0.00140383220586 ; mu : -0.947368421053 
Prob IS: 0.117947811786 ; Error : 0.00140321942977 ; mu : -0.789473684211 
Prob IS: 0.119240504659 ; Error : 0.00142526129122 ; mu : -0.789473684211 
Prob IS: 0.118378214975 ; Error : 0.00139442540375 ; mu : -0.789473684211 
Prob IS: 0.119456572738 ; Error : 0.00143426965894 ; mu : -0.789473684211 
Prob IS: 0.118129461444 ; Error : 0.00139180029186 ; mu : -0.947368421053 
Prob IS: 0.118321348186 ; Error : 0.00141341263611 ; mu : -0.947368421053 
Prob IS: 0.120406980149 ; Error : 0.00143809644033 ; mu : -0.789473684211 
Prob IS: 0.118423894165 ; Error : 0.00141529708971 ; mu : -0.789473684211 
Prob IS: 0.118716607419 ; Error : 0.0014040827196 ; mu : -0.789473684211 
Prob IS: 0.119044461978 ; Error : 0.00141665206673 ; mu : -0.789473684211 
Prob IS: 0.120169816368 ; Error : 0.00142051117659 ; mu : -0.789473684211 
Prob IS: 0.117620515912 ; Error : 0.00139786512819 ; mu : -0.789473684211 
Prob IS: 0.117972912264 ; Error : 0.00141515024444 ; mu : -0.789473684211 
Prob IS: 0.119099014442 ; Error : 0.00141521173089 ; mu : -0.789473684211 
Prob IS: 0.117720117783 ; Error : 0.00142097927137 ; mu : -0.789473684211 
Prob IS: 0.118967531474 ; Error : 0.00139589530146 ; mu : -0.947368421053 
Prob IS: 0.119237577244 ; Error : 0.00141323982293 ; mu : -0.789473684211 
Prob IS: 0.117983027091 ; Error : 0.00138713155702 ; mu : -0.947368421053 
Prob IS: 0.118040308597 ; Error : 0.00140948220403 ; mu : -0.789473684211 
Prob IS: 0.117865027617 ; Error : 0.00138635758206 ; mu : -0.947368421053 
Prob IS: 0.118223151108 ; Error : 0.00140817407904 ; mu : -0.789473684211 
Real value : 0.1191812644487602
