Distance entre avions : 6.0 
Nombre de simulations : 100000 
Prob IS: 0.000113938970552 ; Error : 1.34058393045e-05 ; mu : -2.52631578947 
Prob IS: 0.000111541038696 ; Error : 1.22591767475e-05 ; mu : -2.84210526316 
Prob IS: 9.877558398e-05 ; Error : 1.21606054795e-05 ; mu : -3.47368421053 
Prob IS: 9.16514814045e-05 ; Error : 1.58484431892e-05 ; mu : -6.0 
Prob IS: 9.68536386157e-05 ; Error : 8.39406955803e-06 ; mu : -3.47368421053 
Prob IS: 9.89163238337e-05 ; Error : 1.39502831555e-05 ; mu : -4.42105263158 
Prob IS: 0.000106599264522 ; Error : 2.11806321969e-05 ; mu : -4.73684210526 
Prob IS: 0.000105042061349 ; Error : 1.17553668845e-05 ; mu : -2.21052631579 
Prob IS: 9.30851364514e-05 ; Error : 1.08529635499e-05 ; mu : -5.05263157895 
Prob IS: 8.4985287885e-05 ; Error : 9.70118078199e-06 ; mu : -5.36842105263 
Prob IS: 9.79299432272e-05 ; Error : 8.14999128006e-06 ; mu : -3.78947368421 
Prob IS: 7.90265892382e-05 ; Error : 7.77466485735e-06 ; mu : -5.36842105263 
Prob IS: 0.000104323621447 ; Error : 1.25612531158e-05 ; mu : -2.52631578947 
Prob IS: 0.000107342033513 ; Error : 1.7766112585e-05 ; mu : -1.89473684211 
Prob IS: 0.000109790825613 ; Error : 1.38774026017e-05 ; mu : -2.84210526316 
Prob IS: 8.53830079141e-05 ; Error : 8.50022545678e-06 ; mu : -4.73684210526 
Prob IS: 8.93227503325e-05 ; Error : 1.14706502447e-05 ; mu : -5.05263157895 
Prob IS: 0.00010220231645 ; Error : 1.48440921207e-05 ; mu : -5.05263157895 
Prob IS: 9.31500846194e-05 ; Error : 8.62677446277e-06 ; mu : -3.78947368421 
Prob IS: 0.000103240382257 ; Error : 2.208680575e-05 ; mu : -5.68421052632 
Prob IS: 7.96620181785e-05 ; Error : 9.60952950773e-06 ; mu : -5.68421052632 
Prob IS: 8.03939793403e-05 ; Error : 9.12123343329e-06 ; mu : -5.68421052632 
Prob IS: 9.63908603412e-05 ; Error : 1.09802220989e-05 ; mu : -2.21052631579 
Real value : 0.00016193820151766403
