Distance entre avions : 8.0 
Nombre de simulations : 100000 
Prob IS: 4.70318611728e-08 ; Error : 1.07929666035e-08 ; mu : -4.63157894737 
Prob IS: 4.45684024992e-08 ; Error : 6.20340329748e-09 ; mu : -6.73684210526 
Prob IS: 4.447739884e-08 ; Error : 8.20018879248e-09 ; mu : -7.15789473684 
Prob IS: 4.38258041815e-08 ; Error : 9.13498059073e-09 ; mu : -8.0 
Prob IS: 4.78752365029e-08 ; Error : 1.09401256403e-08 ; mu : -6.73684210526 
Prob IS: 4.71939517056e-08 ; Error : 1.10510956067e-08 ; mu : -8.0 
Prob IS: 4.12825370543e-08 ; Error : 8.35011901045e-09 ; mu : -7.57894736842 
Prob IS: 4.91180366286e-08 ; Error : 7.18439859507e-09 ; mu : -6.31578947368 
Prob IS: 4.49573554606e-08 ; Error : 7.22201044022e-09 ; mu : -6.31578947368 
Prob IS: 4.60039569867e-08 ; Error : 7.15163691077e-09 ; mu : -5.47368421053 
Prob IS: 3.74940527978e-08 ; Error : 4.39697901317e-09 ; mu : -7.15789473684 
Prob IS: 4.54380676889e-08 ; Error : 8.21236132915e-09 ; mu : -7.15789473684 
Prob IS: 4.58734464678e-08 ; Error : 7.3164203886e-09 ; mu : -6.31578947368 
Prob IS: 4.89959754264e-08 ; Error : 8.07912675532e-09 ; mu : -6.31578947368 
Prob IS: 4.04634475113e-08 ; Error : 5.63808887668e-09 ; mu : -7.15789473684 
Prob IS: 4.09991564952e-08 ; Error : 5.17845849877e-09 ; mu : -6.31578947368 
Prob IS: 4.59165193388e-08 ; Error : 6.52805153253e-09 ; mu : -6.73684210526 
Prob IS: 4.39058563408e-08 ; Error : 9.3567303231e-09 ; mu : -8.0 
Prob IS: 4.92497111232e-08 ; Error : 7.99223107639e-09 ; mu : -5.47368421053 
Prob IS: 4.49313571785e-08 ; Error : 8.270301626e-09 ; mu : -8.0 
Prob IS: 5.00945290287e-08 ; Error : 8.06521027856e-09 ; mu : -5.89473684211 
Prob IS: 5.96416274242e-08 ; Error : 1.39028374182e-08 ; mu : -5.89473684211 
Prob IS: 4.11320761634e-08 ; Error : 5.89017815803e-09 ; mu : -7.57894736842 
Real value : 2.3953153016620377e-08
