Distance entre avions : 1.0 
Nombre de simulations : 100000 
Prob IS: 0.772013753724 ; Error : 0.000496591476669 ; mu : -0.368421052632 
Prob IS: 0.776797612233 ; Error : 0.00258495040685 ; mu : -0.421052631579 
Prob IS: 0.773127383507 ; Error : 0.000193928379876 ; mu : -0.368421052632 
Prob IS: 0.780658531053 ; Error : 0.00254201070512 ; mu : -0.421052631579 
Prob IS: 0.773426586604 ; Error : 0.00255027433473 ; mu : -0.421052631579 
Prob IS: 0.778239261863 ; Error : 0.00258959154143 ; mu : -0.421052631579 
Prob IS: 0.774385077999 ; Error : 0.00247061071068 ; mu : -0.421052631579 
Prob IS: 0.774421277226 ; Error : 0.000212874697239 ; mu : -0.368421052632 
Prob IS: 0.778848241549 ; Error : 0.00054785858504 ; mu : -0.368421052632 
Prob IS: 0.775400916254 ; Error : 0.00249210983115 ; mu : -0.421052631579 
Prob IS: 0.777195782658 ; Error : 0.00045327388079 ; mu : -0.368421052632 
Prob IS: 0.781920264591 ; Error : 0.000743794096843 ; mu : -0.368421052632 
Prob IS: 0.776738213127 ; Error : 0.000288182954044 ; mu : -0.368421052632 
Prob IS: 0.777226376645 ; Error : 0.00247079333947 ; mu : -0.421052631579 
Prob IS: 0.773850677962 ; Error : 0.000161549534955 ; mu : -0.368421052632 
Prob IS: 0.778724594461 ; Error : 0.000222898602222 ; mu : -0.368421052632 
Prob IS: 0.779197344334 ; Error : 0.00250049422497 ; mu : -0.421052631579 
Prob IS: 0.776740021758 ; Error : 0.000323334767628 ; mu : -0.368421052632 
Prob IS: 0.77743645193 ; Error : 0.000756610500009 ; mu : -0.368421052632 
Prob IS: 0.776391305364 ; Error : 0.00258364398408 ; mu : -0.421052631579 
Prob IS: 0.775787753591 ; Error : 0.000666684888782 ; mu : -0.368421052632 
Prob IS: 0.776389216169 ; Error : 0.000713315341496 ; mu : -0.368421052632 
Prob IS: 0.773075941526 ; Error : 0.000169957291717 ; mu : -0.368421052632 
Real value : 0.7769715720110953
