Distance entre avions : 3.0 
Nombre de simulations : 100000 
Prob IS: 0.11754 ; Error : 0.00185847585302 ; mu : 0.0 
Prob IS: 0.11803 ; Error : 0.00186115224318 ; mu : 0.0 
Prob IS: 0.11871 ; Error : 0.00186484366398 ; mu : 0.0 
Prob IS: 0.11733 ; Error : 0.00185732460759 ; mu : 0.0 
Prob IS: 0.11684 ; Error : 0.00185462848441 ; mu : 0.0 
Prob IS: 0.11876 ; Error : 0.00186511405183 ; mu : 0.0 
Prob IS: 0.11776 ; Error : 0.00185967920109 ; mu : 0.0 
Prob IS: 0.11884 ; Error : 0.00186554637671 ; mu : 0.0 
Prob IS: 0.11703 ; Error : 0.00185567556491 ; mu : 0.0 
Prob IS: 0.11863 ; Error : 0.00186441074756 ; mu : 0.0 
Prob IS: 0.11864 ; Error : 0.00186446488203 ; mu : 0.0 
Prob IS: 0.11944 ; Error : 0.00186877723827 ; mu : 0.0 
Prob IS: 0.11835 ; Error : 0.00186289266918 ; mu : 0.0 
Prob IS: 0.12019 ; Error : 0.00187278720819 ; mu : 0.0 
Prob IS: 0.1211 ; Error : 0.00187761023252 ; mu : 0.0 
Prob IS: 0.11868 ; Error : 0.001864681363 ; mu : 0.0 
Prob IS: 0.11808 ; Error : 0.00186142457062 ; mu : 0.0 
Prob IS: 0.11771 ; Error : 0.00185940595689 ; mu : 0.0 
Prob IS: 0.11797 ; Error : 0.00186082526139 ; mu : 0.0 
Prob IS: 0.1189 ; Error : 0.00186587038169 ; mu : 0.0 
Prob IS: 0.11851 ; Error : 0.0018637606897 ; mu : 0.0 
Prob IS: 0.11864 ; Error : 0.00186446488203 ; mu : 0.0 
Prob IS: 0.00367723709486 ; Error : 0.00131891963948 ; mu : -3.0 
Real value : 0.11828826043809781
