Distance entre avions : 5.0 
Nombre de simulations : 100000 
Prob IS: 1.22210666893e-07 ; Error : 8.91963566665e-08 ; mu : -4.21052631579 
Prob IS: 8.78756287776e-09 ; Error : 1.07509294913e-08 ; mu : -5.0 
Prob IS: 3.99560619001e-09 ; Error : 4.64258626595e-09 ; mu : -5.0 
Prob IS: 1.22405608708e-08 ; Error : 2.10144603405e-08 ; mu : -5.0 
Prob IS: 8.0515215556e-09 ; Error : 6.43360641853e-09 ; mu : -4.73684210526 
Prob IS: 3.99269716517e-09 ; Error : 2.79037996831e-09 ; mu : -5.0 
Prob IS: 1.49252521917e-09 ; Error : 1.74581777164e-09 ; mu : -5.0 
Prob IS: 7.11821065048e-09 ; Error : 7.97047923334e-09 ; mu : -5.0 
Prob IS: 1.08121321202e-09 ; Error : 7.24214910289e-10 ; mu : -5.0 
Prob IS: 1.44720740978e-08 ; Error : 2.53462995753e-08 ; mu : -5.0 
Prob IS: 1.62258376351e-09 ; Error : 2.49526239599e-09 ; mu : -5.0 
Prob IS: 6.54079880384e-09 ; Error : 9.28427394111e-09 ; mu : -5.0 
Prob IS: 8.02131084606e-09 ; Error : 1.0978746976e-08 ; mu : -5.0 
Prob IS: 1.62281720616e-09 ; Error : 1.90528861294e-09 ; mu : -5.0 
Prob IS: 1.57721239922e-07 ; Error : 3.08461957773e-07 ; mu : -5.0 
Prob IS: 1.29880086624e-07 ; Error : 2.03604401476e-07 ; mu : -5.0 
Prob IS: 5.95481704001e-08 ; Error : 4.99608578348e-08 ; mu : -4.47368421053 
Prob IS: 4.72312988076e-10 ; Error : 3.53622376057e-10 ; mu : -5.0 
Prob IS: 3.37981964465e-09 ; Error : 4.66960186851e-09 ; mu : -5.0 
Prob IS: 1.10996222525e-08 ; Error : 1.25535437843e-08 ; mu : -5.0 
Prob IS: 1.108246755e-08 ; Error : 1.15576883463e-08 ; mu : -5.0 
Prob IS: 5.8378231354e-10 ; Error : 3.85985507251e-10 ; mu : -5.0 
Prob IS: 5.3295691422e-10 ; Error : 4.50575141823e-10 ; mu : -5.0 
Real value : 0.0019998349090512013
