Distance entre avions : 4.0 
Nombre de simulations : 100000 
Prob IS: 0.0200742351402 ; Error : 0.000700868408882 ; mu : -0.631578947368 
Prob IS: 0.0198182207441 ; Error : 0.000700823000255 ; mu : -0.631578947368 
Prob IS: 0.0195957988652 ; Error : 0.000659992691751 ; mu : -0.842105263158 
Prob IS: 0.020353974749 ; Error : 0.000686113657367 ; mu : -0.842105263158 
Prob IS: 0.0198675844643 ; Error : 0.000702193028227 ; mu : -0.631578947368 
Prob IS: 0.0204958999751 ; Error : 0.00071502970777 ; mu : -0.631578947368 
Prob IS: 0.0205363327274 ; Error : 0.000726931063613 ; mu : -0.631578947368 
Prob IS: 0.0203074898781 ; Error : 0.000702260048735 ; mu : -0.631578947368 
Prob IS: 0.0203015682172 ; Error : 0.000702969272042 ; mu : -0.631578947368 
Prob IS: 0.020050344278 ; Error : 0.000693473828827 ; mu : -0.631578947368 
Prob IS: 0.0200868936326 ; Error : 0.000701088003171 ; mu : -0.631578947368 
Prob IS: 0.0203231435612 ; Error : 0.00069949134932 ; mu : -0.631578947368 
Prob IS: 0.0206502284529 ; Error : 0.000704510486344 ; mu : -0.842105263158 
Prob IS: 0.0203875514316 ; Error : 0.000707443917023 ; mu : -0.631578947368 
Prob IS: 0.0196153756174 ; Error : 0.000684216743309 ; mu : -0.842105263158 
Prob IS: 0.0200613103914 ; Error : 0.000706453546072 ; mu : -0.631578947368 
Prob IS: 0.0203574522434 ; Error : 0.000722984580818 ; mu : -0.631578947368 
Prob IS: 0.020559579393 ; Error : 0.000710946743752 ; mu : -0.631578947368 
Prob IS: 0.0202486298004 ; Error : 0.000682518870217 ; mu : -0.842105263158 
Prob IS: 0.0204226579181 ; Error : 0.000710202951343 ; mu : -0.631578947368 
Prob IS: 0.0201184932925 ; Error : 0.000700834158867 ; mu : -0.631578947368 
Prob IS: 0.0199316894768 ; Error : 0.000703710849707 ; mu : -0.631578947368 
Prob IS: 0.0206767792318 ; Error : 0.000722166057814 ; mu : -0.631578947368 
Real value : 0.01998052041459064
