Distance entre avions : 9.0 
Nombre de simulations : 100000 
Prob IS: 1.54346928068e-10 ; Error : 3.13266208051e-11 ; mu : -8.05263157895 
Prob IS: 1.41113669095e-10 ; Error : 2.37296354632e-11 ; mu : -7.10526315789 
Prob IS: 1.39463342232e-10 ; Error : 2.18065383561e-11 ; mu : -5.68421052632 
Prob IS: 1.6647886242e-10 ; Error : 3.23651452587e-11 ; mu : -6.63157894737 
Prob IS: 1.57941047503e-10 ; Error : 2.80673726208e-11 ; mu : -7.57894736842 
Prob IS: 1.28739628482e-10 ; Error : 2.97772134735e-11 ; mu : -9.0 
Prob IS: 1.36314566842e-10 ; Error : 3.1225068115e-11 ; mu : -9.0 
Prob IS: 1.51897585002e-10 ; Error : 3.91795287334e-11 ; mu : -9.0 
Prob IS: 1.72768792066e-10 ; Error : 3.95377451488e-11 ; mu : -7.57894736842 
Prob IS: 1.54822779813e-10 ; Error : 2.80207761827e-11 ; mu : -8.05263157895 
Prob IS: 1.55060181128e-10 ; Error : 3.0529494432e-11 ; mu : -9.0 
Prob IS: 1.57165612251e-10 ; Error : 3.25636095412e-11 ; mu : -7.10526315789 
Prob IS: 1.61489368989e-10 ; Error : 2.72641369821e-11 ; mu : -8.05263157895 
Prob IS: 1.58827517491e-10 ; Error : 2.87831621338e-11 ; mu : -6.15789473684 
Prob IS: 1.65360159722e-10 ; Error : 5.73651635894e-11 ; mu : -6.15789473684 
Prob IS: 1.74922483343e-10 ; Error : 4.17036813869e-11 ; mu : -5.21052631579 
Prob IS: 1.73437552681e-10 ; Error : 4.08669704663e-11 ; mu : -5.68421052632 
Prob IS: 1.53461715712e-10 ; Error : 3.30156832038e-11 ; mu : -9.0 
Prob IS: 1.42476496401e-10 ; Error : 2.42051251152e-11 ; mu : -7.10526315789 
Prob IS: 1.69518023136e-10 ; Error : 3.7770722432e-11 ; mu : -7.57894736842 
Prob IS: 1.29809077073e-11 ; Error : 1.80147923254e-11 ; mu : -3.31578947368 
Prob IS: 1.44513418607e-10 ; Error : 2.95973758499e-11 ; mu : -8.52631578947 
Prob IS: 2.96949721907e-11 ; Error : 4.18436438734e-11 ; mu : -3.31578947368 
Real value : 2.7774493815968526e-10
