Distance entre avions : 3.0 
Nombre de simulations : 100000 
Prob MC: 0.11907 ; Error : 0.00200737239824 
Prob MC: 0.11772 ; Error : 0.0019974890872 
Prob MC: 0.11966 ; Error : 0.00201166559465 
Prob MC: 0.12002 ; Error : 0.00201427741581 
Prob MC: 0.11899 ; Error : 0.00200678904976 
Prob MC: 0.1179 ; Error : 0.00199881170935 
Prob MC: 0.11896 ; Error : 0.00200657021877 
Prob MC: 0.11765 ; Error : 0.00199697432924 
Prob MC: 0.11833 ; Error : 0.00200196525305 
Prob MC: 0.11783 ; Error : 0.00199829753433 
Prob MC: 0.1172 ; Error : 0.00199365974293 
Prob MC: 0.11775 ; Error : 0.0019977096283 
Prob MC: 0.11719 ; Error : 0.00199358597854 
Prob MC: 0.11892 ; Error : 0.00200627838018 
Prob MC: 0.11763 ; Error : 0.00199682721385 
Prob MC: 0.11976 ; Error : 0.00201239168872 
Prob MC: 0.11705 ; Error : 0.00199255278795 
Prob MC: 0.1192 ; Error : 0.00200831971702 
Prob MC: 0.118 ; Error : 0.00199954585244 
Prob MC: 0.11799 ; Error : 0.0019994724589 
Real value : 0.1192612967704123
