Distance entre avions : 5.0 
Probability MC, Error, Rel. Error, N 
0.0, 0.00E+00, NAN, 100 
0.0, 0.00E+00, NAN, 100 
0.0, 0.00E+00, NAN, 100 
0.0, 0.00E+00, NAN, 100 
0.0, 0.00E+00, NAN, 100 
0.01, 1.95E-02, 1.95E+02, 100 
0.0, 0.00E+00, NAN, 100 
0.01, 1.95E-02, 1.95E+02, 100 
0.0, 0.00E+00, NAN, 100 
0.01, 1.95E-02, 1.95E+02, 100 
0.0, 0.00E+00, NAN, 100 
0.0, 0.00E+00, NAN, 100 
0.01, 1.95E-02, 1.95E+02, 100 
0.01, 1.95E-02, 1.95E+02, 100 
0.0, 0.00E+00, NAN, 100 
0.0, 0.00E+00, NAN, 100 
0.0, 0.00E+00, NAN, 100 
0.0, 0.00E+00, NAN, 100 
0.0, 0.00E+00, NAN, 100 
0.0, 0.00E+00, NAN, 100 
0.003, 3.39E-03, 1.13E+02, 1000 
0.002, 2.77E-03, 1.38E+02, 1000 
0.001, 1.96E-03, 1.96E+02, 1000 
0.005, 4.37E-03, 8.74E+01, 1000 
0.003, 3.39E-03, 1.13E+02, 1000 
0.002, 2.77E-03, 1.38E+02, 1000 
0.005, 4.37E-03, 8.74E+01, 1000 
0.002, 2.77E-03, 1.38E+02, 1000 
0.002, 2.77E-03, 1.38E+02, 1000 
0.002, 2.77E-03, 1.38E+02, 1000 
0.004, 3.91E-03, 9.78E+01, 1000 
0.0, 0.00E+00, NAN, 1000 
0.002, 2.77E-03, 1.38E+02, 1000 
0.001, 1.96E-03, 1.96E+02, 1000 
0.005, 4.37E-03, 8.74E+01, 1000 
0.002, 2.77E-03, 1.38E+02, 1000 
0.0, 0.00E+00, NAN, 1000 
0.001, 1.96E-03, 1.96E+02, 1000 
0.001, 1.96E-03, 1.96E+02, 1000 
0.002, 2.77E-03, 1.38E+02, 1000 
0.00229, 2.96E-04, 1.29E+01, 100000 
0.00206, 2.81E-04, 1.36E+01, 100000 
0.00208, 2.82E-04, 1.36E+01, 100000 
0.00216, 2.88E-04, 1.33E+01, 100000 
0.00224, 2.93E-04, 1.31E+01, 100000 
0.0021, 2.84E-04, 1.35E+01, 100000 
0.00194, 2.73E-04, 1.41E+01, 100000 
0.0019, 2.70E-04, 1.42E+01, 100000 
0.00207, 2.82E-04, 1.36E+01, 100000 
0.00211, 2.84E-04, 1.35E+01, 100000 
0.00201, 2.78E-04, 1.38E+01, 100000 
0.00214, 2.86E-04, 1.34E+01, 100000 
0.00197, 2.75E-04, 1.40E+01, 100000 
0.00195, 2.73E-04, 1.40E+01, 100000 
0.0022, 2.90E-04, 1.32E+01, 100000 
0.00203, 2.79E-04, 1.37E+01, 100000 
0.00194, 2.73E-04, 1.41E+01, 100000 
0.00212, 2.85E-04, 1.34E+01, 100000 
0.00202, 2.78E-04, 1.38E+01, 100000 
0.00204, 2.80E-04, 1.37E+01, 100000 
Real value : 0.002057157863060266
