Distance,Probability , Error, Relative error, $N$, mu
4.0, 3.858$\times 10^{-52}$, 7.095$\times 10^{-52}$, 183.87\%, 100, -4.000 
4.0, 2.467$\times 10^{-44}$, 2.761$\times 10^{-44}$, 111.94\%, 1000, -4.000 
4.0, 5.852$\times 10^{-38}$, 1.085$\times 10^{-37}$, 185.35\%, 100000, -4.000 

6.0, 1.209$\times 10^{-121}$, 2.153$\times 10^{-121}$, 178.07\%, 100, -6.000 
6.0, 1.196$\times 10^{-112}$, 1.328$\times 10^{-112}$, 111.04\%, 1000, -6.000 
6.0, 7.344$\times 10^{-100}$, 1.140$\times 10^{-99}$, 155.16\%, 100000, -6.000 

8.0, 3.053$\times 10^{-161}$, 4.008$\times 10^{-161}$, 131.25\%, 100, -6.737 
8.0, 5.256$\times 10^{-144}$, 1.019$\times 10^{-143}$, 193.84\%, 1000, -6.737 
8.0, 5.672$\times 10^{-155}$, 9.303$\times 10^{-155}$, 164.03\%, 100000, -7.158 
