Distance,Probability , Error, Relative error, $N$, mu
4.0, 1.33$\times 10^{-2}$, 5.29$\times 10^{-3}$, 39.93\%, 100, -4.000
4.0, 1.14$\times 10^{-2}$, 2.17$\times 10^{-3}$, 19.02\%, 1000, -4.000
4.0, 2.04$\times 10^{-2}$, 5.60$\times 10^{-4}$, 2.74\%, 100000, -1.263

6.0, 2.43$\times 10^{-5}$, 1.10$\times 10^{-5}$, 45.15\%, 100, -6.000
6.0, 4.14$\times 10^{-5}$, 1.03$\times 10^{-5}$, 24.90\%, 1000, -5.053
6.0, 9.22$\times 10^{-5}$, 8.28$\times 10^{-6}$, 8.98\%, 100000, -3.789

8.0, 8.87$\times 10^{-9}$, 5.06$\times 10^{-9}$, 57.10\%, 100, -7.157
8.0, 1.68$\times 10^{-8}$, 6.23$\times 10^{-9}$, 37.00\%, 1000, -7.157
8.0, 4.72$\times 10^{-8}$, 6.92$\times 10^{-9}$, 14.65\%, 100000, -6.736

