Dist,Probability , Error, Rel Err, $N$, mu
4.0, 3.85$\times 10^{-52}$, 7.09$\times 10^{-52}$, 183.87\%, 100, -4.0
4.0, 2.46$\times 10^{-44}$, 2.76$\times 10^{-44}$, 111.94\%, 1000, -4.0
4.0, 5.85$\times 10^{-38}$, 1.08$\times 10^{-37}$, 185.35\%, 100000, -4.0

6.0, 1.20$\times 10^{-121}$, 2.15$\times 10^{-121}$, 178.07\%, 100, -6.0
6.0, 1.19$\times 10^{-112}$, 1.32$\times 10^{-112}$, 111.04\%, 1000, -6.0
6.0, 7.34$\times 10^{-100}$, 1.14$\times 10^{-99}$, 155.16\%, 100000, -6.0

8.0, 3.05$\times 10^{-161}$, 4.00$\times 10^{-161}$, 131.25\%, 100, -6.7
8.0, 5.25$\times 10^{-144}$, 1.01$\times 10^{-143}$, 193.84\%, 1000, -6.7
8.0, 5.67$\times 10^{-155}$, 9.30$\times 10^{-155}$, 164.03\%, 100000, -7.1
